<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBERP;10;18/01/18;10:20;202.7600000
SBERP;10;18/01/18;10:30;202.8600000
SBERP;10;18/01/18;10:40;202.9000000
SBERP;10;18/01/18;10:50;202.8200000
SBERP;10;18/01/18;11:00;202.7200000
SBERP;10;18/01/18;11:10;202.5300000
SBERP;10;18/01/18;11:20;202.6800000
SBERP;10;18/01/18;11:30;203.0000000
SBERP;10;18/01/18;11:40;202.8200000
SBERP;10;18/01/18;11:50;202.9500000
SBERP;10;18/01/18;12:00;202.8400000
SBERP;10;18/01/18;12:10;202.1900000
SBERP;10;18/01/18;12:20;202.7900000
SBERP;10;18/01/18;12:30;202.7900000
SBERP;10;18/01/18;12:40;203.0600000
SBERP;10;18/01/18;12:50;203.3100000
SBERP;10;18/01/18;13:00;203.4100000
SBERP;10;18/01/18;13:10;203.3000000
SBERP;10;18/01/18;13:20;203.1300000
SBERP;10;18/01/18;13:30;203.2900000
SBERP;10;18/01/18;13:40;203.5000000
SBERP;10;18/01/18;13:50;203.5300000
SBERP;10;18/01/18;14:00;203.8900000
SBERP;10;18/01/18;14:10;203.7700000
SBERP;10;18/01/18;14:20;204.0100000
SBERP;10;18/01/18;14:30;204.1300000
SBERP;10;18/01/18;14:40;204.3000000
SBERP;10;18/01/18;14:50;204.3400000
SBERP;10;18/01/18;15:00;204.4000000
SBERP;10;18/01/18;15:10;204.8700000
SBERP;10;18/01/18;15:20;204.6800000
SBERP;10;18/01/18;15:30;204.8000000
SBERP;10;18/01/18;15:40;204.5000000
SBERP;10;18/01/18;15:50;204.1700000
SBERP;10;18/01/18;16:00;204.1600000
SBERP;10;18/01/18;16:10;204.0000000
SBERP;10;18/01/18;16:20;204.4900000
SBERP;10;18/01/18;16:30;204.6500000
SBERP;10;18/01/18;16:40;204.5000000
SBERP;10;18/01/18;16:50;204.7500000
SBERP;10;18/01/18;17:00;204.8700000
SBERP;10;18/01/18;17:10;204.8800000
SBERP;10;18/01/18;17:20;204.7000000
SBERP;10;18/01/18;17:30;204.9000000
SBERP;10;18/01/18;17:40;204.9200000
SBERP;10;18/01/18;17:50;204.8000000
SBERP;10;18/01/18;18:00;204.9100000
SBERP;10;18/01/18;18:10;204.9000000
SBERP;10;18/01/18;18:20;204.6000000
SBERP;10;18/01/18;18:30;204.3600000
SBERP;10;18/01/18;18:40;204.8900000
SBERP;10;18/01/18;18:50;204.6300000
SBERP;10;19/01/18;10:10;204.8700000
SBERP;10;19/01/18;10:20;204.9000000
SBERP;10;19/01/18;10:30;204.8700000
SBERP;10;19/01/18;10:40;204.5900000
SBERP;10;19/01/18;10:50;204.1200000
SBERP;10;19/01/18;11:00;204.1000000
SBERP;10;19/01/18;11:10;203.3500000
SBERP;10;19/01/18;11:20;203.6700000
SBERP;10;19/01/18;11:30;203.1700000
SBERP;10;19/01/18;11:40;203.0600000
SBERP;10;19/01/18;11:50;203.2800000
SBERP;10;19/01/18;12:00;203.0600000
SBERP;10;19/01/18;12:10;203.4000000
SBERP;10;19/01/18;12:20;203.3700000
SBERP;10;19/01/18;12:30;203.1000000
SBERP;10;19/01/18;12:40;203.0600000
SBERP;10;19/01/18;12:50;203.2900000
